comment,sentiment
با زحمات بیشتر، نتایج بهتری خواهند گرفت کادر این مدرسه,Neutral
عه دکه حاجی غفار,Neutral
خیلییی عالییی و بی نظیرررررر.,Positive
خدا ازتون نگذره که هر روز به یه بهانه ایی ‌پمپ هارو میبندید .یا به علت کم فشار بودن گاز که اونم به خاطر صادر کردن گازه یا به علت تعمیرات ،مگر یه پمپ در سال چند بار تعمیرات میکنن . در سطح شهر دو تا پمپ بازه که اونم شخصیارو نمیزنن .کشوری که رو نفت و گاز خوابیده که نباید مردمش این همه بدبختی بکشن .,Negative
خیلی میوه هاش گرون و خرابه,Negative
خیلی خوش برخورد بودن کاملا منصف خدایی روش کراش زدم🥲💜,Positive
بهترین استخر تبریز,Positive
آشغال ترین پیتزاروداره کیفیت پایین افتضاح وگران,Negative
پیش این فروشنده یک شیشه جلو رانا خریدم به اسم گارانتی کلی گرونتر گرفت ولی شیشه رو خراب نصب کرده و باد میده داخل و درست چسب نکرده با مراجعه بهشم قبول نکرد .توصیه میکنم از فروشنده های مجاز و معتبر خرید کنید,Negative
"یک ستاره برای ثبت نظرم دادم ، لاین میکاپ و شینیون اصلا مطلوب نیست، اخلاق و مشتری مداری بسیار ضعیف ، 
اصلا مطابق میل مشتری کار ارائه نمیشه، درپایان کار ، وجه بیشتری دریافت میشه 
اصلا راضی نبودم",Negative
"به معنای واقعی کلمه افتضاح .
از یکی دو نفر همسایه هاش خودتون بپرسین بعد بگیرید واسه خودتون میگم ک مریض نشید",Negative
آرایشگاه مردانه با هنر انگشتان هنرمند آرایشگری کار درست. در ضمن انصافاً متصدی این آرایشگاه با انصافه.,Positive
"مسئولاش خوب نیستن 
فعالیت زیادی نداره",Negative
"قیمت حلیم قبل از ماه رمضان ۱۲۰ تومن بود ولی در ماه رمضان قیمتش رو کرد ۱۸۰ تومن!!
واقعا نباید ازش دیگه خرید کرد",Negative
نمیدونم چرا با اینکه ظرفیت پخت 3 نوع نان دارد فقط سنگک تولید می‌کنه,Neutral
اگر دنبال اموزشگاه کامل و مجرب در زمینه رباتیک هستید، پیشنام رو به شما پیشنهاد میکنم.,Positive
یکی اززیباترین جاذبه های تفریحی وتوریستی شیرازه,Positive
قیمت نسبت به حجم غذا خیلی خوب بود ، من رویال برگر رو گرفتم برای دو نفر کافیه ، کیفیت خوبی هم داره انصافا,Positive
دبیرستان ابن سینا قبل انقلاب,Neutral
جناب حسن پور ممنون از لطفتون,Neutral
فریم‌های متنوعی داره. قیمت‌هاش هم به نظرم مناسبه,Positive
حتما امتحان کنید,Positive
رستوران خوبیه و غذا های عالی و رفتار خوب کارکنان,Positive
"متأسفانه با غذای اکبر جوجه ای ؛ این شعبه اصلا حال نکردم...!!!
قیمتش هم خیلی گرون و فضایی هستش...!!!",Negative
واقعا از هر نظیر عالییی هستن هم اخلاق و مشتری مداری و قیمت,Positive
برای مریضای اورژانسی هیچ اهمیتی نمیدن,Negative
مسجد خوب و تمیز همه امکانات دارد,Positive
کیفیت عالی,Positive
کار راه انداز,Positive
صد درصد اگر دست کشورای دیگه بود به بهترین شکل ازش بهره برداری میکردن یه جور که پول کل فضای سبزش تو مدت یکسالش درمیومد ، واقعا فقط تاسف تاسف تاسف,Negative
عالی وباتجربه ممنون از مدیریتشون,Positive
کتابخانه ای مدرن و زیبا با ساعت کاری مناسب حتی در روزهای تعطیل,Positive
"این پاسگاه به زور ۱۳ میلیون ازم گرفتن تا برام پرونده درست نکن 
یکی از نامردترین ماموران رو داره",Negative
بهمن ماه ۱۴۰۱ صبحانه به همراه نان گرم تازه باخانواده رستوران آنجا خوردیم قیمت، کیفیت و کمیت مناسب بود  برخورد پرسنل خوب بود پیشنهاد میدم,Positive
خاک تو سرتون با این اسکانتون,Negative
عالی و مرتب و کاملا بهداشتی و تمیز،خوش اخلاق و خوش برخورد و مرغ و ماهی به تاریخ روز و تازه داره,Positive
قدیمش خیلی با صفا و خوب بود الان دیگه خلوت و محصولاتش کمتر شدن,Neutral
مکانی عالی و سالم که محلی برای فوتسال جوانان و مسابقات منطقه ای ایجاد شده 🤩♥️✨⚽,Positive
با سلام خدمت هموطنان عزیز ، یکماه پیش چند قلم کالا از شهر لوازم خانگی خریدم با پیش پرداخت 25 درصدی و اقساط ، یخچال فریزر دوقلو مدل دی 51 دیپوینت را هنگام نصب متوجه نقص در هنگام بسته شدن شدیم و به نصاب اعلام کردیم ایراد را و بزور سعی در القا کردن داشت به مرور زمان درست میشه و برای رفع نقص به ما گفت روغن زیتون دارید که بزنم به دربش درست شه !!! شرکت گل آسا سرویس خدمات پس از فروش دیپوینت را داره اعلام کردیم نمیخوایم و تعویض شه گفتن تعمیر میکنیم گفتیم یخچال نو را برای خودتان تعمیر کنید دو هفته آزار دادند و تعویض نکردند ، سه هفته هم هست به شهر لوازم خانگی زنگ میزنیم میگیم طرف قرارداد ما شمائین یخچالتون ایراد داره شما باز پس بگیرید و هنوز موفق نشدیم ، مشتری مداری و خدمالت پس از فروش معنا ندارد بماند آبسرکنشم از روز اول خراب شد . متاسفم اگه تعویض نکنند جلوی چکم را خواهم بست و شکایت میکنم در دادگاه ، موقع فروش خوبند ولی بعدش دیگه کسی به دردت گوش نمیده و میره تو بروکسی اداری فرسایشی,Negative
بسیار کند و پرسنل ناکافی .دستگاه ها و کامپیوتر  هایی که تست انجام میدهند سنسورهای معیوب و دارای خطا های آشکار می باشد من برای معاینه فنی پراید ۲۷۵ هزار تومان کارت کشیدم و هزینه کردم.,Negative
عالیه ولی حا داره ک امکاناتش رو بیشتر کنن,Positive
اجرت منصفانه در کمترین زمان ضمانت کاری,Positive
روزهای تعطیل بسته است ،,Neutral
اجناس داخل فروشگاه تنوع کمی داره,Negative
لنگرودیان عزیز، عکس یا توضیحی درباره این مکان بگذارید,Neutral
قدیمی و متوسط,Negative
بسیار زیبا و دلنشین برای استراحت کردن و پیاده روی.,Positive
برخورد کاملا درستی با ارباب رجوع ندارن و اینکه ارگان با اداره ای نیست نظارت داشته باشه به امکان دولتی تا از ارباب رجوع ها و مردمی که میان سواستفاده نشه,Negative
بسیار مودب ومتین,Positive
مشاوران خوش برخورد و ملک های خوب و بصرفه..,Positive
برادر امام رضا ع,Neutral
بسته من دو دفعه اس که ارسال میشه بعد دوروز پیام میاد که برگشت خورد نمیارن اصلا انتظار دارن ما بریم اداره پست بگیریم,Negative
خیلی عالی و با کیفیت فقط نور مجموعه در حد استاندارد نیست,Positive
خییلی باشگاه مرتبی نیست مخصوصا رختکن و کمدهاش,Negative
خط ۱۰۰ خیلی دیر به دیر میاد,Negative
لطفا شماره تلفن خود سالن رو ثبت کنید ممنون,Neutral
غذای خوب و خوشمزه ای داشت. قیمتهاش هم خوبه.,Positive
کافه خوبی هست,Positive
به نظرم کیفیت غذاش بشدددددت پایین بود.برنج که ی قطرررره روغن نداشت‌با این حالت که من خودم غذا رو کم روغن میخورم.برنج خشک خشک بود.کباب ترش واقعااااا نپخته و سفت بود.جوری که هر کاری میکردم تیکه کنم نمیشد که از یه چاقو مجبور شدم استفاده کنم و انقد نپخته بود که جویده نمیشد و مثل ادامس بود. جلو در پارکبان از ما عیدی میخواست در صورتی که ما متاسفانه پول نقد همراه نداشتیم این  در حالیه که جلوی صندوق برای حساب کردن غذا صندوب عیدی کارکنان داشتن و اگر کسی میخواست خودش عیدی رو میداد نیازی به اصرار و معذب کردن مردم نبود.من مسافر بودم و تعجب کردم از صفی که جلو در تشکیل شده بود و اسم مینوشتن.بنظرم یا الکی این رستوران اسم درآورده یا نظرات توی نت رو اعضای خانواده کارکنان نوشتن و ما رو به اشتباه انداختن.,Negative
مدرسه معمولی با ادعای بالا,Negative
واقعاً اون تو هیچکس سرجای خودش نیست,Negative
کارکنان مودب و خوبی دارد. در کمترین زمان ممکن کار رو انجام می دهند.,Positive
خیلی عالی هست,Positive
پلاژ تیس یک مکان بسیار عالی برای تفریح سرگرمی بهشت گمشده ایران زمین چابهار,Positive
مرکز بهداشت جدید خسروشاه که بر خلاف ساختمان جدید التاسیس هنوز به اندازه کافی مجهز نشده و در آن خدمات قابل قبولی ارائه نمیشه.,Negative
شیرینی فروشی تمیز و مرتب و با سابقه و شیرینی های خوشمزه,Positive
با سلام تپه وسط روستا خیلی زیباست(تیش تپه) از اونجا کل روستا زیر پاته . تپه ۱۳ هم از قشنگیاشه و سرسبزیش و شالیزارش,Positive
میسیر چشمه رو مسدود کردن و هیچ جاذبه خاصی ندارد ...از اصفهان سه ساعت مسیر رفت بود و ۶۶ تومن ورودی که اصلا ارزش این همه طی کردن مسیر برای چشمه بسته شده و فقط حاشیه رود میشد رفت رو نداشت,Negative
"غذای بی کیفیت.پرسنل بی نزاکت و از همه مهمتر اینکه کلی وقت تلف میکنن 
پیشنهاد من اینکه اصلا از این غذاخوری کباب نخرید .هم به خاطر بی کیفیت بودنش هم به خاطر بی ادب بودن مسئولشون",Negative
بازار تاریخی اراک به روایتی مشهور در زمان شاهان قاجار و به دستور و نظارت مستقیم شخص فتح علی شاه قاجار ساخته و پرداخته شده است در حدود سال ۱۲۲۵ تا اواخر سال ۱۲۲۸ اینا این بازار بزرگ و تاریخی فقط یک بازار نیست بلکه شامل بناها و مجموعه های تاریخی بسیاری است که همه را در دل خود جای داده است بناهایی همچون کاروانسرا های تاریخی یا حمام های قدیمی و تاریخی  و یا گذرگاههای تاریخی و عمارت های تاریخی بسیار بزرگ و باشکوه و مهم که هم در عصر خود از اهمیت بالایی برای مردمان آن روزگاران دارای اهمیت بسیار بالایی یوده انـد و هم در این روزگاران و در زمانه ما و برای ما از اهمیت خاص و بالایی برخوردار هستند و وظیفه ما نگهداری و حراست از این گنجینه های تاریخی و فرهنگی کشور عزیزمان میباشد،،تشکر,Neutral
عالیه همه چی داره حتما ازش خرید کنید .واقعا فروشنده ی منصفی هستند,Positive
کارکنانی آرام و مکانی شلوغ,Negative
"فست فود مرتضی تو شلوغ بازار. 
خوبه 👍",Positive
سر گردنه اس وروردی ۱۵۰ هزار😐,Negative
قیمت ها عالیه خدایی,Positive
نانوایی خوبی نیست از لحاظ کیفیت,Negative
قیمتاش مناسب نیست,Negative
به نسبت سایر فروشگاه های رفاه فضای کوچکی داره ، تعداد پرسنل هم نسبتا کم هست ، معمولا جای پارک جلوی فروشگاه پیدا میشه,Neutral
الان بیشتر شیبه آشغال دونی شده ، روی در و دیوارش همه جا یادگاری نوشتن ، توی اون خرابه ها هم سگ ها لانه کردند ، به نظرم عامدانه ولش کردند به امان خدا تا کلا تخریب بشه,Negative
آیا سوییت و اتاق داره؟,Neutral
پاسخگوی تلفن نیستن، برخوردشون اصلا خوب نیست و مشکلاتی که پیش میاد هم کامل و اصولی حل نمیکنن. متاسفم,Negative
از میدان ارگ شروع و به میدان مشتاقیه ختم می‌شود؛ به همین دلیل به‌عنوان طولانی‌ترین راسته بازار ایران به حساب می‌آید. این بازار عمدتا پس از سده هشتم هجری قمری ساخته شده و در نتیجه هر بخش از آن در زمان یکی از مقامات شهر احداث شده و ویژگی‌های خاصی از هر دوره را در خود جای داده است. برخی از ویژگی‌های بازار کرمان در میان بازارهای ایران منحصربه‌فرد است؛ مانند وجود بلندترین بادگیر کرمان در بازار که شهرت جهانی دارد. مجموعه ‏‌بناهای اطراف بازار کرمان از دوره صفویه به بعد همگی در ارتباط با بازار ایجاد شده‌اند. این بازار، محل خوبی برای خرید سوغات و صنایع دستی کرمان است.بازار بزرگ کرمان شامل راسته‌ها و بازارهای متفاوتی می‌شود و جالب اینکه، مجموعه بناهای متصل به این بازار، ۶۰ درصد از بناهای تاریخی کرمان را تشکیل می‌دهند. در هر یک از این بازارها بناهایی چون مسجد و حمام نیز وجود دارد. صف عزاخانه، مسجد وکیل، مسجد گنجعلی خان و مسجد چهل‌ستون هر یک مساجدی هستند که با نام بازار اصلی خود نامیده می‌شوند و جزئی از بنای آن به حساب می‌آیند. از شکل خاص هر یک از حمام‌‌ها یا مسجدها در بازارهای مختلف می‌توان نوع معماری دوره‌شان را بررسی کرد و به نتایج جالبی رسید,Neutral
جای تاریخی ودیدنی,Positive
"رفتار پرسنلش خیلی غیر محترمانه س انگار مجانی کار میکنن😡😡🫤😡

به زور میخان انعام بگیرن 
صندوق عقب  .  دستمال شیشه داخل ماشین .
جداگانه باید پول بدی",Negative
پاستاهاش افتضاح ترین پاستایی بود که تا حالا خوردم.,Negative
هر وقت ک سفارش دادم رضایت داشتم پر روزی باشید.,Positive
جای پارک ماشین نیست و همیشه شلوغ است و احتمال درگیری بخاطر پارک ماشین بالاست ... مردم همه رعایت نمی‌کنند. تلفن دندانپزشکی کودک ۱۱۴۴۴۳۱۰۱۰ میباشد.,Negative
قیمت ها گزاااف و بی منطق،برخورد پرسنل در جواب دو سوال در مورد نوع ماهی و غذا به قدری بد بود که در دقیقه اول بیرون اومدیم....,Negative
برج آزادی به مناسبت یادبود جشن‌های ۲۵۰۰ ساله شاهنشاهی ساخته شد که به نام برج شهیاد آریامهر معروف بود و پس از انقلاب اسلامی به برج آزادی تغییر نام یافت. معماری شگفت‌انگیز این اثر باعث شده است که یکی از مهمترین جاهای دیدنی تهران به شمار آید. برج آزادی در سال ۱۳۵۳ در فهرست آثار ملی ایران قرار گرفت. جالب است بدانید که در فاصله سال‌های ۱۳۵۲ تا ۱۳۵۷ تصویر برج روی اسکناس‌های ۲۰۰ ریالی ایران چاپ می‌شد.برج آزادی در وسط میدان آزادی شهر تهران است. میدان آزادی از غرب به بزرگراه شهید لشگری، از شرق به خیابان آزادی، از جنوب به بزرگراه سعیدی و از شمال به بزرگراه جناح محدود می‌شود.برج آزادی در نزدیکی یکی از مبادی ورودی و خروجی تهران قرار گرفته است که همه روزه مسافرت‌های درون‌شهری و برون‌شهری بسیاری از طریق آن صورت می‌گیرد. ضلع شمال‌غربی این میدان به ترمینال‌های مسافربری، ایستگاه‌های تاکسی، مینی‌بوس و اتوبوس اختصاص دارد، در ضلع شمال شرقی ساختمان‌هایی با کاربری‌های اداری و تجاری و کیوسک‌های روزنامه فروشی، بلیط‌فروشی و غیره دیده می‌شود، در ضلع جنوب شرقی آن پارک المهدی و در ضلع جنوب غربی سازمان ملی نقشه‌برداری و محدوده فرودگاه مهرآباد قرار دارد.,Neutral
فوق العاده بد مدرسین کم تجربه,Negative
هنوز نرفتم ولی تعریفش رو زیاد شنیدم، بهش می گن تنگه قاهون.,Neutral
دوستان عزیز توجه کنین که از روستای کوه و کمر برید حدودا نیم ساعت پیاده‌روی داره تو کوچه باغ‌ها و اذیت نمی‌شین ولی اگه از روستای دارانداش برین حدود سه ساعت از تو برق آفتاب باید کوه‌پیمایی کنین و مثل ما بیچاره می‌شین,Neutral
غذا  خوب نبود  سرویس دهی نداشت,Negative
بشدت بی مسئولیت، غذا بعد از 2 ساعت به دستم رسید سرده سرد,Negative
خیلی وقت است که تغییر کاربردی داده است.,Neutral
نان لواش نیمه بهداشتی تکنو پخت تجربه خرید خوبی نبود.,Negative
یکی از قدیمیترین عطاریهای اون منطقه است و خیلی ساله که پابرجاست و هنوز که هنوز به گذشت اینهمه سال بازم بهترین عطاری او محله است چون هم خودش و هم پسراش باتجربه هستن,Positive
"خدمات زیر صفر و عدم دانش کافی کارشناسان فنی مربوطه
در حدی که یه آنلاک بوت لودر و آپدیت گوشی رو نمیتونن انجام بدن",Negative
باسلام و احترام لطفا نشانیپ روبیکا یا ایتا هم بگذارید,Neutral
متاسفانه انگار با مجرم حرف میزنن ، اونقدی که با همه مردم بد حرف میزنن کارکنانشون ، بجز فقط یکی از کارکنان که خانومی هست تو بخش پست پیشتاز .,Negative
فلافل هایی که کربلا میدن اینجا دارد,Neutral
در یک کلمه .... افتضاح,Negative
راضی نیستم و قیمت ها نسبت به جاهای دیگه بیشتره.,Negative
اینجا اصلا پارک نیست یک فضای سبز کوچک هست با تعدادی صندلی! هیچ ندارد!,Negative
مکانش از لحاظ بهداشتی باید رسیدگی بشه,Negative
واقعا اپراتور چاقه بیشعوره..‌‌برخورد در حد جلبک...,Negative
هوای عالی,Positive
امامزاده بی بی حکیمه در گچساران قرار دارد مسیر جاده بی بی حکیمه خیلب پیچ در پیچ هست برای راننده تازه خطرناک هست،  در ایام عید نورثز مکانی شلوغ میباشذ,Negative
افطاری دلچسب در کافه مانزا,Positive
واقعا ایستگاه خوبیه,Positive
رفتیم به قصد امتحان ساندویچ کتلتش. خیلی هم شلوغ بود. متاسفانه کتلتش بیش از حد شور بود و طعم سوختگی میداد. اصلا خوب نبود.,Negative
از زیباترین جاذبه های طبیعی گردشگری اصفهان که در کنار آکواریوم معروف اصفهان و در حاشیه رودخانه زاینده رود واقع شده است.,Positive
عالی،با تجربه و مورد اطمینان,Positive
بهترین مسیر برای رفتن به مازندران و برگشت,Positive
استخر بدون امکانات. سونا و جکوزی کوچیک,Negative
عالی و قشنگ,Positive
واقعا بدتر از این ندیدم و نداریم انقدر بی ادب هستن پرسنل این بیمارستان واقعا واسه خودم و مردمم متاسفم که تا این حد گستاخ کردیم بهضی از آدم ها رو,Negative
چرا اطلاعات خطوط نمایش داده نمیشه؟,Neutral
از مدیریت و کارکنان این مجموعه تشکر میکنم.  کارتون عالیه واقعا,Positive
افتضاح پرسنل بی ادب غذای بی کیفیت,Negative
عالی وتخصصی تعمیر انجام میده ممنون استاابوالفضل,Positive
دیر جواب میدن و غذاها بی کیفیت,Negative
بسیار زیبا و عالی  دسترسی خوب  وجنگل رویایی حتما بازدید کنید,Positive
"غذای خاصی نداره مرغ و شامی 
فقط اسم در کرده",Negative
بعد از پایان کویر مروست(یزد) اولین جای زیبایی که می‌رسی دامنه کوه دهار و مزرعه های اطراف اون هست مثل گداربید. سربره. چشمه ها,Positive
کاردرست آقای ریسی عزیز با استاد امین احمدی,Positive
همیشه  کلی  معتاد تو این پارک هستن و  دارن مواد استفاده میکنن,Negative
سرویس بهداشتی با اینکه پولی بود، ولی نظافت لازم نداشت.,Negative
توصیه نمیکنم. تلسکوپ شون واقعی نیس . و اطلاعات اشتباه میدهند. ماهواره مخابراتی رو به عنوان ستاره ای که هست سال نوری با زمین فاصله داره نشون داد و گفتم چرا اینقدر سریع حرکت می‌کنه ستاره ها ک حرکت نمیکنن گفتن این بخاطر حرکت زمینه. مورد دوم سیاره زحل بود که اونم اشتباه نشون داد و در واقع نور مصنوعی بود. کلا همین دوتا,Negative
آسایش رو ازمون گرفتن...🤕,Negative
بسیار عالی است من خوشم اومد,Positive
رستوران نسبتا خوب با غذاهای مطلوب و عالی,Positive
روستای زیبا و مردمی مهربان,Positive
حیف که دولت اجازه ساخت مکان تفریحی  اطرافش را نمیده نمیدونم چطوری ملت میرن پر از پشه و مگسه کنارش اینقدر که آشغال ریخته و لجن گرفته,Negative
عالی واقعا خداروشکر که اینطور مسجد ها داریم,Positive
روستای چمطاق یکی از بهترین مکانها واسه ی تفریحه مکانی آرام و زیبا ومردمی خون گرم.بسیارسرسبز.حتما سربزنید به این روستا,Positive
جواب گو نیستن خدمات ارائه نمیدن مردم گرفتارن,Negative
"غذاها خیلی بی کیفیت بود
قیمتها بالا
غذا رو خیلی دیر اوردن
در کل حیف وقت و پول",Negative
من در این مکان کا شت مو انجام دادم .و به هیچ عنوان رضایت ندارم و توصیه می کنم به این مکان نزدیک نشوید.اولا که کارکنانشان فاقد ادب و فهم و شعور و عفت هستند ‌. درثانی فاقد رعایت صحیح اصول بهداشتی و درمانی هستند. درکل گران هم کار میکنند. اگر میخواهید دچارآسیب شدید روحی روانی و جسمی و مالی شوید به آن مکان مراجعه کنید. تمام تمام.,Negative
صحن بزرگ,Positive
رستوران خوبی هستش غذاهای خوبی دارد,Positive
توی اهواز هر مکانی معروف شد کیفیت میاد پایین قیمت میره بالا,Neutral
خدا رحمت کنه همه رفتگان رو,Neutral
سالن مطالعش با مخزن کتاب یکجاست. روزهای زوج و فردم هست برای اقایان خانمها چون یه سالن مطالعه داره. برا مطالعه طولانی و مداوم به درد نمیخوره,Neutral
افتضاح,Negative
سلام ، بدترین تالاری بود که دیده بودم ، نه تهویه کار می‌کرد نه پرسنل درست و حسابی داشت ، میوه ها رو عوض کرده بودن ، این همه هزینه کردیم آبرومونو بردن ، خواهشا کسی گول ظاهر تالار رو نخوره اگه کیفیت مراسم براش مهمه,Negative
قبلاً با کیفیت بود، اما تازگی خیلی بد شده و گران,Negative
غذا هاشون حرف نداره دست مریضا.,Positive
مکانی منظم و تمیز با مدیریتی جدید کلبه های چوبی با امکانات کامل ادم میتونه شبو تو دل جنگل تجربه کنه و لذت ببره سوپر مارکت و دوچرخه راه اندازی شده رستوران و کافی ساپ در حال راه اندازی هستن  مسیر پیاده روی و دوچرخه سواری فوتبال دستی سرسره تاب و پارک کودکان از امکانات دیگه پارکه، من از اهالی اطراف این پارک جنگلی هستم واقعا نسبت به گذشته تغییرات زیادی داشته اخر هفته ها و تعطیلات معمولا شلوغ هست وسط هفته ها خلوت و ساکت،حتما تجربه کنید.,Positive
از قدیمی ترین و بهترین بستنی فروشی های تبریز,Positive
بسیار عالی و قیمتای مناسب,Positive
برخورد محترمانه ، مشاوره عالی و واقعی,Positive
"خیلی جای بدیه  هیچ امکانتی نداره فقط پول میگیرن
دزد هم داره شب  چادر پره میکنن میبرن همه چی رو  ب نظر من نرین",Negative
کیفیت فرآورده ها و تنوع محصولات عالی.,Positive
جای خوب با صفاییه اگر میخواد تو مسیر زیبایی بیشتری ببینید و اگر از سمت شهر های شمالی قصد سفر به این منطقه رو دارید و اکر کمی سختی راه براتون مهم نیست پیشنهاد میکنم از جاده گنج افروز به سمت چشمه حرکت کنید دما اب ولرم و بسیار مناسب کف استخر با شن و سنگ ریزه پر شده و چون چشمه کف استخر  خب طبیعیه .جای مناسبی برای وسایل شخصی نداره . اطراف میشه پارک کرد اما من ترجیح دادم ماشینمو بزارم پارکینگ تا کمی رونق اقتصادی برای محلی ها هم داشته باشه.  جا برای چادر زدن داره اما این کارو نکنین بهتر . ساعت های زوج که شروع میشه مردونه ساعت های فرد که شروع شد زنونه حالا شاید یه وقتایی جابجا بشه اما روال اینجوریه,Positive
یادمان شهدا یادگار پایمردی،دلیری،شجاعت،استقامت وآزادگی آزاد مردانی است که استقلال این کشور را با خون خودتضمین کردند,Neutral
واقعا عالی است من ۶ سال در آن جا هستم  و واقعا خوب است,Positive
اخلاق بد و پول اضافه گرفتن از نشانه‌های بارز کارکنان این نانوایی است,Negative
کارشون عالیه و خوش برخورد هستن,Positive
روستای ما یعنی قلعه برزند عالیه حتما عکس یا ویدیو میذارم,Positive
خط ۸۸ خیلی دیر میاد,Negative
یکی از شش دروازه اصلی شهر شوشتر در دوره ساسانیان,Neutral
پس چرا شماره تماس ندارید زنگ بزنیم؟ 🙄🙄🥺😭,Neutral
بخش MRI این بیمارستان بسیار مرتب و تمیز با نظم پرسنل خوب و مودب از همه مهمتر دارای دستگاه غیر تونلی و باز جهت تصویر برداری برای افرادی که ابعاد بدنی بزرگتری دارند,Positive
یکی از روستاهای خوش آب و هوای شهرستان میانه میباشد,Positive
اصلا از یک هتل چهارستاره انتظار بی نظمی و کثیف بودن قاشق چنگال نداشتم،حدود یک ساعت معطل شدیم تا غذا حاضر شد،درکل پیشنهاد نمیکنم,Negative
چیز زیادی برای دیدن نداره، همش غرفه فروشگاهی ، ورودی هم به نسبت محلش خیلی بالاست.,Negative
"یه پارک محله ای هست...که مناسب برای نشستن و جذراندن وقت نیست
بیشتر برای بچه های همون محله خوبه",Negative
عالی همه ی غذاهاش خوب هستند ولی فیله استریپس عالی عالی هست شاورما هم عالی هست,Positive
کاش یکی بگه اینجا زیر نظر کجاست ؟!,Neutral
به روایتی محل دفن ابن سینا,Neutral
"در این مرکز اکثر ماشین‌ها برچسب آلایندگی می‌خورند و در نهایت با دریافت هزینه‌ای گزاف توسط تعمیرگاه داخل مرکز ماشین شما تایید می‌شود. اگر می‌خواهید به غیر از پول وقت هم تلف کنید این مرکز عالیه.
نوشتم تا باقی عزیزان مثل من اشتباه نکنن و گرفتار این جماعت نشن.",Negative
این جا خیلی را دوست داشتم به همه پیشنهاد میدم,Positive
هم نان تافتون سنتی و هم نان سنگک سنتی دارد. انصافا نان خوبی هم میدهد بخصوص نان تافتون.,Positive
مرسی .ممنون میشیم اگه مکانهای بیشتری از ایران زیبا به اشتراک بگذادیر. عالیه این,Positive
خط ۱۵ تعدادش کمه لطفا رسیدگی بشه,Negative
والا انقدر شلوغه آدم حال نداره وایسا ولی مجبوره بعد کار کناش اصلا بر خورد خوبی ندارن اصلا اصلا,Negative
چندتا شاگرد نابلد رو آوردن گذاشتن به عنوان استادکار و واقعا خدمات دهی پایینی داشتند,Negative
قشنگه و نمای خوبی داره به شهر,Positive
محیط نامناسب,Negative
زمستون های بی نظیر,Positive
چشمه حسن آباد جرقویه علیا,Neutral
جای خوبیه برای خرید کامپیوتر لپ تاپ و ps5 و xbox من یک ps5 از اینجا خریدم,Positive
خیییلی جای عالی ایه ، هم کیفیت غذاشون خوبه هم قیمت مناسبه ، نمیدونم چرا اکثر اوقات خالیه ما چند بار رفتیم دیگه مشتری دائمیشون شدیم ، فوق العادس,Positive
س،این مکان آب خوردن که پیدا نمیشه و همیشه توفان و شن و سرعت باد بالای ۲۰۰کیلومتری رو داره,Negative
عمارت مهر جای دیدنی و زیبایی هست احتمالا مربوط  به دوره پهلوی بیشتر از یکسال است که تعمیرات و بازسازی آن متوقف شده و تعطیل و امکان ورود به آن وجود ندارد.,Positive
"سلام 
رفتار پرسنل خیلی بد و بداخلاق هستن و دیگه کیفیت قبل و نداره واقعا میگم الکی شلوغه قیمت هم ک دیگ نگم!واقعا ارزش نداره از یک محله و منطقه دیگ بری از سولدوش خرید کنی ولی تو اون محدوده برای خرید شیرینی نسبت ب قنادی های دیگ خوبه بد نیست",Negative
جایی برای چاپدن جیب مردم تمام اجناس بسته بندی با وزن رو بسته مطابقت نداره و پرسنل کاملا بی تربیتی داره..........,Negative
اساتید نسبتا خوبی داره و بنظرم تجربه تدریس هم دارن,Positive
ماشالا حاج حسن عمی,Neutral
آب میوه و کیک و فالوده و قهوه و اسپرسو و چایی و ... دارد,Neutral
"به خانم ها خیلی دیرتر نان میدهد
در حدی که هر یه آقا یه خانم رد میکنه",Negative
یه جای دنج با مدیریت عالی با کیفیت عالی🌹🌹🌹,Positive
واقعا عالیه من هرهفته میرم اونجا,Positive
"اصلا جاش مناسب نیست 
بهداشت رعایت نمیشه 
سالن کثیفه 
در و پنجره نداره تا بوی عرق از بین بره",Negative
بزرگراه آزادگان واقعا وضعیت خرابی داره در بعضی از قسمت هاش. وسط بزرگراه با چاله مواجه میشی! ترک های آسفالت افتضاح. رسیدگی کنید لطفا,Negative
فروشگاه تمیز و قیمتها مناسب,Positive
غذاش اصلا خوب نیست.فاجعه بود.,Negative
خط عالی باکیفت وبسیار تمیز است.,Positive
از قدیمی‌ترین های منطقه منصف و خوش اخلاق,Positive
"اصلا باشگاه خوبی نیست بدترین مربی رو داره اولش باهاتون خوب رفتار می‌کنه اما بعد از ۱ ماه خیلی بهتون فحش میده بعد تکنیک هم اصلا بهتون یاد نمی‌ده ۱ ستاره دادم چون ۲ فن بهم یاد داد کمربند سبز رو بهم داد سونگه واوسوتوگاری فقط این دوتا فن و گرفتن کمربند سبز 

درکل اصلا بهتون پیشنهاد نمیکنم عکس من هم اونجا هست",Negative
همیشه چند تا از نازل هاش خرابه,Negative
من ۲ ساعت رفتم پارکینگ میخواستم بیام بیرون ۱۱ هزار تومان از من گرفتن,Negative
درود و سلام بر  هیئت امنای محترم مسجد اعظم سه پله که امور فرهنگی و اجتماعی  و مذهبی  و کلیه مراسم  های  طول سال را به نحو احسنت برگزار  می کنند . این مراسم شب سوم ماه مبارک رمضان  سال ۱۴۰۲,Neutral
